Tumor type	Proportion treatment related mutations	Total treatment related mutations	AGING	CAPECITABINE/5-FU	CARBOPLATIN	CISPLATIN	OXALIPLATIN
Breast	0.0183588317107093	66	314.916081159437	13.8484639786773	NA	51.6701569298982	NA
Breast	0.125845410628019	521	300.002765097324	202.984370673392	NA	318.476776568458	NA
Breast	0.00670592083742231	41	167.432157274777	NA	NA	41.1152441185885	NA
Breast	0.00643979676237741	109	176.268332494004	NA	109.122833810769	68.3277372117268	NA
Breast	0.0311614730878187	55	169.955379989834	NA	NA	55.2131515695693	NA
Breast	0.0792844522968198	359	333.823184532383	9.47881043827074E-040	359.060452029055	313.443307207219	NA
Breast	0.0181172954800149	97	314.806908395409	17.1218305893197	NA	79.9864782624764	NA
Breast	0.0414570685169124	239	468.966098707603	NA	238.94326914968	132.812122733847	NA
Colon-Rectum	0.0375106564364877	352	1393.07514867607	NA	NA	351.90423612784	NA
Colon-Rectum	0.0756944444444445	1635	866.338261941981	3.42459208459339	NA	1631.20036529382	NA
Esophagus	0.107178968655207	2332	1089.37197235089	1217.35528605061	NA	1114.60064717049	NA
Esophagus	0.00761570005858231	299	293.53982891642	NA	NA	298.880453880433	NA
Lung	0.00911141964595626	105	235.564307118803	NA	NA	104.892819758776	NA
Lung	0.0801220908050362	1890	582.014327542651	NA	NA	1889.99474695219	NA
Lung	0.119220308250227	1578	471.34908663352	NA	NA	1578.26260103498	NA
Lung	0.147006819904016	582	250.429165437913	NA	NA	581.193732297806	NA
Lung	0.130343561500131	497	267.13170133193	NA	117.209978839432	496.788795642418	NA
Lung	0.076631977294229	1134	190.809867094475	NA	709.166230570253	1134.09442974314	NA
Lung	0.039508884570978	1403	11.0518856581094	NA	754.542582790687	1402.32128013426	NA
Lung	0.0188986640599544	58	310.06530771115	NA	NA	58.4685476265044	NA
Lung	0.0123647604327666	48	369.574026935695	NA	NA	47.6871645666179	NA
Lung	0.0503059143439837	222	173.96476505092	NA	NA	222.013895509809	NA
Lung	0.00714176245210729	233	131.844677720015	NA	NA	232.59079883434	NA
Lung	0.0590400107712676	2631	189.246633154591	NA	1906.98533235742	2630.65223433174	NA
Lung	0.143394269415273	1106	457.937132951429	NA	NA	1106.00007384133	NA
Lung	0.075052802200501	1528	117.600590338324	NA	NA	1527.46633093708	NA
Lung	0.0121541048769301	159	188.501914248427	NA	NA	158.566690462184	NA
Lung	0.150250578257517	1559	405.578084020476	NA	683.972224015111	1558.61401890853	NA
Lung	0.0846490083507306	2595	29.164441397946	NA	NA	2595.75914849292	NA
Lung	0.024701873935264	319	92.7248607942836	NA	NA	318.262782545303	NA
Lung	0.00757154261109364	313	263.11224418812	NA	281.977992846799	313.268395309595	NA
Lung	0.0391573434896453	329	533.242655781788	NA	NA	328.935864150548	NA
Lung	0.136388140161725	506	453.84752707465	NA	298.824956463996	505.584226103664	NA
Lung	0.0958201892744479	729	202.056384847034	NA	NA	729.040523175098	NA
Lung	0.164832319047002	1273	327.26090920501	NA	239.810776307502	1273.09425057917	NA
Lung	0.129953588004284	1092	319.170664963836	NA	307.283330649066	1092.10296843399	NA
Lung	0.0254945054945055	870	259.703819869851	NA	659.682815392588	869.375986314472	NA
Lung	0.071697673515361	1846	15.8804508897559	NA	NA	1845.52074106298	NA
Lung	0.00377506496053341	77	196.626725658498	NA	NA	77.1746229197209	NA
Lung	0.0920392063112599	2310	139.407652813889	NA	1758.56826017054	2309.30912997756	NA
Lung	0.00622383161706462	275	57.0133451259821	NA	NA	275.706016809947	NA
Lung	0.12137797810689	1508	1098.79052036191	NA	NA	1508.15498483944	NA
Lung	0.059480923530375	1453	641.894295143446	NA	1023.38140008312	1453.74427310408	NA
Lung	0.00492204924246586	448	2432.49424790833	NA	NA	448.502002520345	NA
Lung	0.0109991852455374	297	468.361361592153	NA	NA	296.838349732182	NA
Lung	0.0180405087140839	383	651.42967239826	NA	NA	382.539462079704	NA
Lung	0.070714119562689	608	692.647845720872	NA	NA	607.866645658759	NA
Lung	0.0073465104075564	210	153.470057501303	NA	NA	210.736235934174	NA
Lung	0.00431351653091777	510	3663.2903830699	NA	NA	510.229377909102	NA
Lung	0.130407523510972	1872	305.436515864333	NA	NA	1872.23456228244	NA
Lung	0.0196121212121212	809	3.44690856627951E-201	NA	490.009590608645	808.713152940981	NA
Lung	0.0622672734795201	301	349.809391444856	NA	97.6290360619899	300.378461395458	NA
Lung	0.0248791762975415	592	504.573214809212	NA	NA	592.154104859191	NA
Lung	0.113728066059867	1212	170.054491526062	NA	NA	1211.94158624622	NA
Lung	0.0174471992653811	513	132.545605141306	NA	292.069435847051	512.756217594516	NA
Lung	0.0237317830692044	298	322.985398452658	NA	NA	298.134402692806	NA
Lung	0.00531133170039963	206	163.229586876814	NA	NA	206.591947155376	NA
Lung	0.0941648230088495	681	327.253369384081	NA	341.844236230422	680.622690881893	NA
Lung	0.11731843575419	294	56.6687953776723	NA	NA	293.805126360748	NA
Lung	0.0655445142973028	1616	297.493142295092	NA	NA	1615.47204951115	NA
Lung	0.0154080731883477	576	25.6507262305713	NA	NA	576.649885994792	NA
Lung	0.0746650906225374	758	248.411747479167	NA	NA	757.456189516225	NA
Lung	0.0504832886922093	867	93.2962933574841	NA	685.145361708722	867.009415103243	NA
Lung	0.0301732343422806	317	260.003797017613	NA	NA	317.443998113184	NA
Lung	0.00484384037015615	134	206.97543500613	NA	NA	133.565413253843	NA
Lung	0.0960294445683694	1722	359.518894794841	NA	NA	1722.3716294494	NA
Lung	0.00631072510856322	202	299.506282442559	NA	NA	202.361450023215	NA
Lung	0.0441815548044423	549	333.490752823203	NA	NA	549.052993914543	NA
Lung	0.205882352941176	980	472.696801751811	NA	NA	979.206155144634	NA
Lung	0.0861734020865812	3593	277.989948659047	NA	NA	3592.81987121281	NA
Lung	0.00369047619047619	31	355.7135404001	NA	NA	31.05733583271	NA
Lung	0.0343050847457628	1265	437.863643762753	NA	NA	1265.17320684049	NA
